Tipo_Codigo,SPN,FMI,Descripcion,Grupo,Criticidad,Origen_Criticidad,Motor_Aplica
SPN,558,2,"Circuito del Interruptor de Validación de Ralentí - Ningún voltaje detectado simultáneamente en ambos pines de señal de fuera de ralentí y en ralentí, de validación de ralentí.",Motor,MEDIA,Manual,Generico
SPN,558,13,"Circuito del Pedal del Acelerador - Voltaje detectado en el circuito de validación de ralentí en ralentí cuando el pedal no está en ralentí o voltaje detectado en el circuito de validación de ralentí de fuera de ralentí, cuando el pedal está en reposo.",Motor,MEDIA,Manual,Generico
PID,91,7,La señal del sensor de posición del acelerador y el interruptor de validación de ralentí no coinciden,Motor,MEDIA,Manual,Generico
SPN,1590,2,"Modo de Control de Crucero Adaptable - Datos Erráticos, Intermitentes o Incorrectos",Motor,MEDIA,Manual,Generico
SPN,3555,17,Densidad del aire ambiente - Datos válidos pero inferiores al rango de funcionamiento normal - Nivel menos grave,Motor,MEDIA,Manual,Generico
SPN,171,13,Circuito de temperatura de aire ambiente - Fuera de calibracion,Motor,MEDIA,Manual,Generico
SPN,171,2,Circuito de temperatura de aire ambiente - Datos erraticos o intermitentes,Motor,MEDIA,Manual,Generico
SPN,171,3,Circuito de temperatura de aire ambiente - Voltaje por Encima de lo Normal o en Corto con Fuente Alta,Motor,MEDIA,Manual,Generico
SPN,171,4,Circuito de temperatura de aire ambiente - Voltaje por Debajo de lo Normal o en Corto con Fuente Baja,Motor,MEDIA,Manual,Generico
PID,108,3,Circuito del Sensor de Presión de Aire Ambiente - Alto voltaje detectado en el circuito,Motor,MEDIA,Manual,Generico
PID,108,4,Circuito del Sensor de Presión de Aire Ambiente - Bajo voltaje detectado en el circuito,Motor,MEDIA,Manual,Generico
SPN,108,2,Circuito del Sensor de Presión de Aire Ambiente - Datos erraticos o intermitentes,Motor,MEDIA,Manual,Generico
SID,1,3,Válvula solenoide del Cilindro 1 - Voltaje por Encima de lo Normal o en Corto con Fuente Alta,Motor,MEDIA,Manual,Generico
SID,2,9,Válvula solenoide del Cilindro 2 - Tasa de actualización anormal,Motor,MEDIA,Manual,Generico
SID,2,2,"Válvula solenoide del Cilindro 2 - Datos erráticos, intermitentes o incorrectos",Motor,MEDIA,Manual,Generico
SID,21,12,Señal de posición del árbol de levas inactiva,Motor,MEDIA,Manual,Generico
SID,21,8,Ruido en la señal de posición del árbol de levas,Motor,MEDIA,Manual,Generico
SPN,111,9,Nivel del Refrigerante del motor - Tasa de actualización anormal,Motor,MEDIA,Manual,Generico
SPN,3597,2,"Voltaje de suministro de salida de energía de la ECU # 1: datos erráticos, intermitentes o incorrectos",Motor,MEDIA,Manual,Generico
SPN,1075,3,Circuito eléctrico de la Bomba de elevación de combustible - Voltaje por encima de lo normal o en cortocircuito a fuente alta,Motor,MEDIA,Manual,Generico
PID,121,0,La presión de control del freno del motor está por encima del rango de funcionamiento normal,Motor,MEDIA,Manual,Generico
SPN,1072,5,Circuito de Salida 1 Excitador del Actuador del Freno de Motor - Corriente debajo de lo normal o circuito abierto,Motor,MEDIA,Manual,Generico
SPN,1073,5,Circuito de Salida 2 Excitador del Actuador del Freno de Motor - Corriente debajo de lo normal o circuito abierto,Motor,MEDIA,Manual,Generico
SPN,1073,4,Circuito de Salida 2 Excitador del Actuador del Freno de Motor - Voltaje por Debajo de lo Normal o en Corto con Fuente Baja. Bajo voltaje detectado en el circuito de señal número 2 del solenoide del freno de motor.,Motor,MEDIA,Manual,Generico
SPN,111,2,Nivel Del Refrigerante - Falla en el circuito,Motor,MEDIA,Manual,Generico
SPN,111,0,Nivel Del Refrigerante - Datos válidos pero superiores al rango de funcionamiento normal - Nivel más severo,Motor,MEDIA,Manual,Generico
SPN,111,17,Nivel del Refrigerante del motor - Datos validos pero por debajo del Rango Normal De Operación - Nivel menos severo,Motor,MEDIA,Manual,Generico
