device_name,placa,tipo,marca,empresa
1087-GVT367,GVT367,COMPACTADORES DOBLES,KENWORTH ,PROMOCALI
1088-GVT423,GVT423,COMPACTADORES DOBLES,KENWORTH ,PROMOCALI
1089-GVT472,GVT472,COMPACTADORES DOBLES,INTERNATIONAL,PROMOCALI
1090-GVT501,GVT501,COMPACTADORES DOBLES,INTERNATIONAL,PROMOCALI
1091-GVT507,GVT507,COMPACTADORES DOBLES,INTERNATIONAL,PROMOCALI
1092-GVT510,GVT510,COMPACTADORES DOBLES,INTERNATIONAL,PROMOCALI
1093-GVT497,GVT497,COMPACTADORES DOBLES,INTERNATIONAL,PROMOCALI
1094-GVT586,GVT586,COMPACTADORES DOBLES,INTERNATIONAL,PROMOCALI
11004-NGY803,NGY803,FURGON,CHEVROLET,PROMOAMBIENTAL DISTRITO 
11005-NGY804,NGY804,FURGON,CHEVROLET,PROMOAMBIENTAL DISTRITO 
11007-NGY806,NGY806,FURGON,CHEVROLET,PROMOCALI
1148-NWW623,NWW623,COMPACTADORES DOBLES,FOTON ,PROMOAMBIENTAL DISTRITO 
1149-NWX185,NWX185,COMPACTADORES DOBLES,FOTON ,PROMOAMBIENTAL DISTRITO 
1150-NWX186,NWX186,COMPACTADORES DOBLES,FOTON ,PROMOAMBIENTAL DISTRITO 
1151-NWX183,NWX183,COMPACTADORES DOBLES,FOTON ,PROMOAMBIENTAL DISTRITO 
1152-NWX541,NWX541,COMPACTADORES DOBLES,INTERNATIONAL,PROMOAMBIENTAL DISTRITO 
1153-NWX416,NWX416,COMPACTADORES DOBLES,INTERNATIONAL,PROMOAMBIENTAL DISTRITO 
1154-NWX543,NWX543,COMPACTADORES DOBLES,INTERNATIONAL,PROMOAMBIENTAL DISTRITO 
1155-NWX483,NWX483,COMPACTADORES DOBLES,INTERNATIONAL,PROMOAMBIENTAL DISTRITO 
1156-NWX542,NWX542,COMPACTADORES DOBLES,INTERNATIONAL,PROMOAMBIENTAL DISTRITO 
1157-NWX533,NWX533,COMPACTADORES DOBLES,FOTON ,PROMOAMBIENTAL DISTRITO 
1158-SSX744,SSX744,COMPACTADORES DOBLES,INTERNATIONAL,PROMOAMBIENTAL DISTRITO 
1159-NWY131,NWY131,COMPACTADORES DOBLES,INTERNATIONAL,PROMOAMBIENTAL DISTRITO 
1160-NWY132,NWY132,COMPACTADORES DOBLES,INTERNATIONAL,PROMOAMBIENTAL DISTRITO 
1161-NWY133,NWY133,COMPACTADORES DOBLES,INTERNATIONAL,PROMOAMBIENTAL DISTRITO 
1164-NWY952,NWY952,COMPACTADORES DOBLES,MERCEDES BENZ,PROMOAMBIENTAL DISTRITO 
1307-LSX407,LSX407,COMPACTADORES SENCILLOS,VOLSKWAGEN ,PROMOAMBIENTAL DISTRITO 
1308-LSX408,LSX408,COMPACTADORES SENCILLOS,VOLSKWAGEN ,PROMOAMBIENTAL DISTRITO 
1800-GVU036,GVU036,COMPACTADORES DOBLES,INTERNATIONAL,PROMOCALI
1801-GVU038,GVU038,COMPACTADORES DOBLES,INTERNATIONAL,PROMOCALI
1802-GVU037,GVU037,COMPACTADORES DOBLES,INTERNATIONAL,PROMOCALI
1803-GVU039,GVU039,COMPACTADORES DOBLES,INTERNATIONAL,PROMOCALI
1925-QQU071,QQU071,CAMIONETAS,CHEVROLET VAN,PROMOAMBIENTAL DISTRITO 
1926-QQU072,QQU072,CAMIONETAS,CHEVROLET VAN,PROMOAMBIENTAL DISTRITO 
1927-QQU073,QQU073,CAMIONETAS,CHEVROLET VAN,PROMOAMBIENTAL DISTRITO 
1928-QQU074,QQU074,CAMIONETAS,CHEVROLET VAN,PROMOAMBIENTAL DISTRITO 
3093-GVT366,GVT366,COMPACTADORES DOBLES,KENWORTH ,PROMOVALLE
3094-GVT509,GVT509,COMPACTADORES DOBLES,INTERNATIONAL,PROMOVALLE
3095-GVT513,GVT513,COMPACTADORES DOBLES,INTERNATIONAL,PROMOVALLE
3096-GVT514,GVT514,COMPACTADORES DOBLES,INTERNATIONAL,PROMOVALLE
3097-GVT515,GVT515,COMPACTADORES DOBLES,INTERNATIONAL,PROMOVALLE
3098-GVT565,GVT565,COMPACTADORES DOBLES,INTERNATIONAL,PROMOVALLE
3099-GVT587,GVT587,COMPACTADORES DOBLES,INTERNATIONAL,PROMOVALLE
3200-GVU074,GVU074,AMPLIROLL,INTERNATIONAL,PROMOVALLE
3201-GVU075,GVU075,AMPLIROLL,INTERNATIONAL,PROMOVALLE
3800-GVU033,GVU033,COMPACTADORES DOBLES,INTERNATIONAL,PROMOVALLE
3801-GVU034,GVU034,COMPACTADORES DOBLES,INTERNATIONAL,PROMOVALLE
